"gene_symbol","ensembl_gene_id","entrezgene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1700007J10Rik","ENSMUSG00000086330","69320",54.4486084966581,-0.137377865734016,0.30735445189044,-0.446968849447432,0.654897551520766,0.838077305419628
"Pole4","ENSMUSG00000030042","66979",740.212913660364,0.0779885542718304,0.174611751821168,0.446639779158185,0.655135169194514,0.838314753141922
"Gm9173","ENSMUSG00000104646","#N/A",27.0419078876049,-0.187193184548562,0.419452337730959,-0.44627998871383,0.65539500948944,0.838531737705139
"Proser3","ENSMUSG00000036864","333193",155.860687213506,-0.0846412301213101,0.189667656041553,-0.446260748341649,0.655408906042327,0.838531737705139
"9330151L19Rik","ENSMUSG00000097061","414085",49.6864156239352,0.151330718770312,0.339304841016371,0.446002238921815,0.655595628648103,0.838703982616962
"Orai1","ENSMUSG00000049686","109305",169.466490082489,-0.0912174929570697,0.204577571791124,-0.445882176420609,0.655682357696374,0.838748288488131
"Naa15","ENSMUSG00000063273","74838",10134.6727662463,0.0722094594867972,0.161983154179242,0.445783759753772,0.655753453996471,0.838772591510542
"Eya3","ENSMUSG00000028886","14050",1407.6770854466,-0.0743832015484224,0.166898545153834,-0.445679148849752,0.655829028439696,0.838799003943845
"Mocs2","ENSMUSG00000015536","17434",545.777987817339,-0.0671136760022685,0.150634850852614,-0.445538835285432,0.655930401220684,0.838799003943845
"Rbl2","ENSMUSG00000031666","19651",851.69717688501,0.091560568576935,0.205490054018461,0.445571777253556,0.655906600964287,0.838799003943845
"Gclm","ENSMUSG00000028124","14630",1290.8022076575,0.0870099319920242,0.19536256456117,0.445376688146312,0.656047556066338,0.838815569621033
"Zfp607a","ENSMUSG00000020420","545938",92.9907253370142,-0.100944215029767,0.226626394862065,-0.44542126300516,0.65601534891495,0.838815569621033
"Nme6","ENSMUSG00000032478","54369",538.404048860001,-0.0849052899371332,0.190733007240649,-0.44515257828451,0.65620949425889,0.838924275729906
"9930012K11Rik","ENSMUSG00000044551","268759",103.919727188426,0.117797954900146,0.264758824571325,0.444925509436274,0.656373587045204,0.839032532864453
"6330403K07Rik","ENSMUSG00000018451","103712",12.8734379727817,0.291353495014054,0.655488456096698,0.444483029875164,0.656693395414635,0.839041636868155
"Ets2","ENSMUSG00000022895","23872",1467.72099238533,0.100052289374487,0.225032469320348,0.444612680457486,0.656599682102363,0.839041636868155
"Gm42998","ENSMUSG00000105466","#N/A",21.059097423108,-0.201027210541241,0.452223191588524,-0.444530962322151,0.656658748520797,0.839041636868155
"Mrps35","ENSMUSG00000040112","232536",1161.24880462067,-0.0518413753828039,0.116624332831142,-0.444515943837072,0.656669604216352,0.839041636868155
"Syngap1","ENSMUSG00000067629","240057",432.714694505783,-0.110063769948734,0.24753152986861,-0.444645455902753,0.656575992392797,0.839041636868155
"Hdlbp","ENSMUSG00000034088","110611",18187.6822579751,0.0584815831011257,0.13164994970876,0.44422032238144,0.656883300740125,0.839151086401334
"Zfp433","ENSMUSG00000096795","73610",28.8735035725389,-0.181161796784767,0.407781328771498,-0.444262117960488,0.656853086175334,0.839151086401334
"Gm45838","ENSMUSG00000108825","#N/A",11.4353951867204,0.264524970472846,0.59571821300122,0.444043785635112,0.657010927626223,0.839247535288971
"Gm47234","ENSMUSG00000111030","#N/A",18.5483879039059,0.230736524565685,0.519855701600077,0.443847251949907,0.657153023028187,0.839316257918779
"Naa12","ENSMUSG00000024571","27366, 117903916",4232.37927649605,0.0708513027722963,0.159637866093119,0.443825168215213,0.657168990517027,0.839316257918779
"Gm6366","ENSMUSG00000106534","#N/A",30.1040814319516,0.174545111227278,0.393985118597546,0.443024629581442,0.657747919953484,0.839922391438063
"Tor1aip1","ENSMUSG00000026466","208263",1297.05308576231,0.0716661348307449,0.161804982986728,0.44291673536793,0.657825962049747,0.839955427789748
"Napg","ENSMUSG00000024581","108123",747.367023783427,0.07286510760715,0.164908272429322,0.441852349392475,0.658596054005464,0.840738698817632
"Rpa3","ENSMUSG00000012483","68240",697.952833664137,0.0669272665860726,0.151466390510754,0.441862160710305,0.658588953781482,0.840738698817632
"Apobec1","ENSMUSG00000040613","11810",97.6434307061933,-0.203075717948685,0.460179736952437,-0.441296523166284,0.658998342849529,0.840783498752148
"B230354K17Rik","ENSMUSG00000097119","105246278",449.391859104687,0.0836979370609167,0.189770943580303,0.441047167083822,0.659178850700365,0.840783498752148
"Fam53a","ENSMUSG00000037339","74504",800.919747259198,0.075534339927766,0.171095111194988,0.441475734754826,0.658868624578157,0.840783498752148
"Fer","ENSMUSG00000000127","14158",989.298446816053,-0.064151853654097,0.145489481312968,-0.440938087586534,0.659257819145783,0.840783498752148
"Gm26542","ENSMUSG00000097887","#N/A",13.7144605667785,-0.269384547877667,0.610759973833878,-0.441064508839176,0.65916629643197,0.840783498752148
"Gm44981","ENSMUSG00000108574","#N/A",13.2306106367706,0.236214887542254,0.535013082085081,0.441512358205644,0.658842116781088,0.840783498752148
"Gm8225","ENSMUSG00000068604","#N/A",17.1284930929811,-0.233700762904586,0.529744046491748,-0.44115788455251,0.659098700325417,0.840783498752148
"Nod1","ENSMUSG00000038058","107607",161.007963127384,0.146840198633674,0.332759181839725,0.441280681788669,0.659009809767427,0.840783498752148
"Nom1","ENSMUSG00000001569","433864",1132.98111794913,-0.077351087543695,0.175121831970566,-0.441698711538696,0.658707242184344,0.840783498752148
"Oxnad1","ENSMUSG00000021906","218885",604.704664461058,0.0910731665867727,0.206531312501417,0.440965418191238,0.659238032711833,0.840783498752148
"Pom121","ENSMUSG00000053293","107939",3687.87237075798,-0.0615406781136016,0.139424204779732,-0.441391637921306,0.65892949489893,0.840783498752148
"Ppm1l","ENSMUSG00000027784","242083",1302.06093794295,0.0626556956301554,0.141898721291556,0.441552221611768,0.658813264414248,0.840783498752148
"Hdgfl2","ENSMUSG00000002833","15193",1668.69614477269,0.0632389703059741,0.143448127703954,0.44084904639875,0.659322283609714,0.840799110187437
"Apol10b","ENSMUSG00000050014","328561",12.7140151587703,0.25981609109688,0.589737203201654,0.44056249069306,0.659529762750825,0.840997083818175
"Gm14303","ENSMUSG00000081344","#N/A",314.020697275382,0.0674680365443186,0.15317365758646,0.440467620917362,0.659598458481921,0.841018070924125
"Gdi2","ENSMUSG00000021218","14569",9940.99065317,-0.0434263240393665,0.0986352237338317,-0.44027196771564,0.659740141115462,0.841111509793542
"1700099I09Rik","ENSMUSG00000091906","76624",27.2893738307097,-0.190570648526487,0.432985315714174,-0.440131897341961,0.65984158083658,0.84112822260245
"H2ac10","ENSMUSG00000061991","319173",20.3407494496416,-0.326050380339543,0.740931234778371,-0.440054845895479,0.659897384576687,0.84113276000987
"Eif2s3x","ENSMUSG00000035150","26905",5155.44778174789,-0.0662227969053127,0.150578141045676,-0.439790240770903,0.660089036598579,0.841177258923311
"Fndc3b","ENSMUSG00000039286","72007",4683.80307015806,0.040822232645675,0.0928195477301454,0.43980210681868,0.66008044160833,0.841177258923311
