"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezgene_id","external_gene_name","gene_biotype","external_gene_source","transcript_count","description"
"ENSG00000241878",2275.59536772854,-2.45395430681668,0.0896780221863439,1.30491376155599e-165,4.87580706650136e-164,"23761","PISD","protein_coding","HGNC Symbol",17,"phosphatidylserine decarboxylase [Source:HGNC Symbol;Acc:HGNC:8999]"
"ENSG00000180815",1121.30976279904,-8.5305219939318,0.310876913349166,1.45751920829304e-165,5.43711822309315e-164,"389840","MAP3K15","protein_coding","HGNC Symbol",4,"mitogen-activated protein kinase kinase kinase 15 [Source:HGNC Symbol;Acc:HGNC:31689]"
"ENSG00000253556",8665.66070734372,-12.7211376302351,0.460771141069427,1.48341936584894e-165,5.52470866595942e-164,"NA","MTCO1P4","processed_pseudogene","HGNC Symbol",1,"MT-CO1 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:50350]"
"ENSG00000240809",667.284039980942,-5.19059582131528,0.189871215425365,1.75017249606195e-165,6.50756320604141e-164,"NA","AC026877.1","processed_pseudogene","Clone-based (Ensembl) gene",1,"CAP, adenylate cyclase-associated protein 1 (yeast) (CAP1) pseudogene"
"ENSG00000105988",497.817230360181,-4.36119769994478,0.159597480130873,1.91428349281551e-165,7.10619384406147e-164,"NA","NHP2P1","processed_pseudogene","HGNC Symbol",1,"NHP2 ribonucleoprotein pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23582]"
"ENSG00000149929",824.672312501608,3.88996124091356,0.142312709243395,2.0821426366705e-165,7.71677214207592e-164,"8479","HIRIP3","protein_coding","HGNC Symbol",7,"HIRA interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:4917]"
"ENSG00000243663",503.02650580077,-6.0691923168117,0.221637991995106,2.57215971886472e-165,9.51740784143949e-164,"NA","RPS4XP14","processed_pseudogene","HGNC Symbol",1,"ribosomal protein S4X pseudogene 14 [Source:HGNC Symbol;Acc:HGNC:36737]"
"ENSG00000251596",529.67097130983,-6.3617049099094,0.2324469486795,3.62676848227993e-165,1.33979165777428e-163,"NA","HADHAP1","processed_pseudogene","HGNC Symbol",1,"HADHA pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:4802]"
"ENSG00000234750",1109.20491277216,-8.69658358075814,0.316510566302208,4.37568564172894e-165,1.61384334734526e-163,"NA","AC012618.2","processed_pseudogene","Clone-based (Ensembl) gene",1,"ribosomal protein S2 (RPS2) pseudogene"
"ENSG00000152558",2888.70906859784,3.7752253999476,0.138402457886728,7.40009792740735e-165,2.72490702714048e-163,"114908","TMEM123","protein_coding","HGNC Symbol",8,"transmembrane protein 123 [Source:HGNC Symbol;Acc:HGNC:30138]"
