"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrezgene_id","external_gene_name","gene_biotype","description"
"ENSG00000187994",52.8215802349054,-1.46807308467532,0.39987597621487,-3.67132103951767,0.000241300011116479,0.0003235324030697,"126432","RINL","protein_coding","Ras and Rab interactor like [Source:HGNC Symbol;Acc:HGNC:24795]"
"ENSG00000229212",5.45633207196734,5.38786512953264,1.46779905679769,3.67071030913959,0.00024187735707117,0.00032428746452295,"NA","AC044860.1","transcribed_unprocessed_pseudogene","golgin subfamily A pseudogene"
"ENSG00000248560",10.902944401529,-2.86439258482183,0.780346454097374,-3.67066777811539,0.000241917611446045,0.000324322395387193,"NA","AC008620.2","processed_pseudogene","transmembrane and tetratricopeptide repeat containing 4 (TMTC4) pseudogne"
"ENSG00000066336",11.016412878576,-2.7466057217574,0.748293671950988,-3.6704917129612,0.000242084318854249,0.000324526839133191,"6688","SPI1","protein_coding","Spi-1 proto-oncogene [Source:HGNC Symbol;Acc:HGNC:11241]"
"ENSG00000198695",13687.9415837632,1.9706062437674,0.536880570824532,3.67047412563464,0.000242100977345251,0.000324530122173271,"4541","MT-ND6","protein_coding","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]"
"ENSG00000185437",18.224630808053,2.16240745197592,0.589299217564968,3.66945583418753,0.000243067325751432,0.00032580636497664,"6450","SH3BGR","protein_coding","SH3 domain binding glutamate rich protein [Source:HGNC Symbol;Acc:HGNC:10822]"
"ENSG00000251470",16.2800688742623,-2.4277877515911,0.661719634916159,-3.66890692596527,0.000243589733984448,0.000326487437468944,"NA","ASNSP4","unprocessed_pseudogene","asparagine synthetase pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:39400]"
"ENSG00000064419",4432.1845056425,-0.343926362472954,0.0937598082451457,-3.66816409834925,0.000244298376944915,0.000327418028932862,"23534","TNPO3","protein_coding","transportin 3 [Source:HGNC Symbol;Acc:HGNC:17103]"
"ENSG00000253159",15.2848431909895,-2.89449695556874,0.789208915426453,-3.66759282490452,0.000244844675632768,0.000328130943948879,"26025","PCDHGA12","protein_coding","protocadherin gamma subfamily A, 12 [Source:HGNC Symbol;Acc:HGNC:8699]"
"ENSG00000223697",5.43610795077106,5.37985241251602,1.46703817730445,3.66715229074747,0.000245266733010917,0.000328677281889124,"NA","AF230666.1","lncRNA","novel transcript, antisense to PHF20L1"
"ENSG00000105672",15.4238593907011,2.31500845650744,0.631419782550134,3.66635401754083,0.000246033264526072,0.000329685151872269,"2116","ETV2","protein_coding","ETS variant transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3491]"
"ENSG00000136830",10545.2835009743,-0.299875197733933,0.0817924023148444,-3.66629649266958,0.000246088588751632,0.000329739940070315,"64855","NIBAN2","protein_coding","niban apoptosis regulator 2 [Source:HGNC Symbol;Acc:HGNC:25282]"
"ENSG00000136874",238.790841639229,0.588277526381696,0.160477874901048,3.66578587075903,0.000246580188321989,0.000330379263233949,"55014","STX17","protein_coding","syntaxin 17 [Source:HGNC Symbol;Acc:HGNC:11432]"
"ENSG00000196151",146.080318782833,-0.788676596758421,0.215157670754083,-3.66557508265577,0.000246783392372602,0.000330632128726337,"151525","WDSUB1","protein_coding","WD repeat, sterile alpha motif and U-box domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26697]"
"ENSG00000260302",5.61214611062965,5.43276555893719,1.48221364898902,3.66530531050146,0.000247043687417717,0.000330961448670415,"NA","AP005482.2","lncRNA","novel transcript"
"ENSG00000120068",243.917674978978,0.773207248020865,0.210957841239232,3.66522165508903,0.000247124456307138,0.000331050235063565,"3218","HOXB8","protein_coding","homeobox B8 [Source:HGNC Symbol;Acc:HGNC:5119]"
"ENSG00000277053",446.716046530828,-0.438316172091498,0.119608568298183,-3.66458840138259,0.000247736663541211,0.000331850889068488,"NA","GTF2IP1","transcribed_unprocessed_pseudogene","general transcription factor IIi pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:4660]"
"ENSG00000231490",5.88179131050532,5.50096160587601,1.50157443051781,3.66346249248466,0.0002488286669113,0.000333294113165631,"NA","RPL7L1P2","processed_pseudogene","ribosomal protein L7 like 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:39484]"
"ENSG00000259319",30.699265880444,2.26638512118404,0.618661001366556,3.66337156565202,0.000248917052321447,0.000333392948508652,"NA","AF111167.2","lncRNA","novel transcript, antisense to JDP2"
"ENSG00000141294",36.4941195225734,2.0570924424639,0.561587333613348,3.66299650889243,0.000249281937500838,0.00033386208705692,"90506","LRRC46","protein_coding","leucine rich repeat containing 46 [Source:HGNC Symbol;Acc:HGNC:25047]"
"ENSG00000186660",1952.5325815887,-0.379053437987992,0.103492599990812,-3.66261392622896,0.000249654661320194,0.00033434166822399,"80829","ZFP91","protein_coding","ZFP91 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:14983]"
"ENSG00000265800",12.3416994043258,3.21454285360337,0.87771083198823,3.66241675099491,0.000249846959558235,0.00033457957838467,"NA","AC022211.4","lncRNA","novel transcript, sense intronic to HN1"
"ENSG00000197905",966.426939832051,0.536042326162471,0.146373872650804,3.66214486543836,0.000250112348070205,0.000334915332878484,"7004","TEAD4","protein_coding","TEA domain transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11717]"
"ENSG00000142621",104.994178654367,1.1141341505103,0.304375189551307,3.66039739360061,0.000251824382591827,0.000337188079616271,"114827","FHAD1","protein_coding","forkhead associated phosphopeptide binding domain 1 [Source:HGNC Symbol;Acc:HGNC:29408]"
"ENSG00000234284",44.5117268008431,1.50696144383385,0.411796787933606,3.65947838349051,0.000252729159870067,0.000338379721085266,"345462","ZNF879","protein_coding","zinc finger protein 879 [Source:HGNC Symbol;Acc:HGNC:37273]"
"ENSG00000156049",22.0277432655219,1.95391348685908,0.533962928103187,3.65926805780324,0.000252936656476763,0.000338637686691647,"9630","GNA14","protein_coding","G protein subunit alpha 14 [Source:HGNC Symbol;Acc:HGNC:4382]"
"ENSG00000116141",377.212183725626,0.509895551197927,0.13937991859073,3.65831431352149,0.000253879578427956,0.000339880169502702,"4139","MARK1","protein_coding","microtubule affinity regulating kinase 1 [Source:HGNC Symbol;Acc:HGNC:6896]"
"ENSG00000181523",1334.75914426371,0.32305330901625,0.0883098428168267,3.65818009308805,0.000254012540126972,0.000340038239491233,"6448","SGSH","protein_coding","N-sulfoglucosamine sulfohydrolase [Source:HGNC Symbol;Acc:HGNC:10818]"
"ENSG00000121454",76.6145245680313,1.00625581601391,0.275103553592604,3.65773470706983,0.000254454217292768,0.00034060953397899,"89884","LHX4","protein_coding","LIM homeobox 4 [Source:HGNC Symbol;Acc:HGNC:21734]"
"ENSG00000087087",7222.82733867182,0.293487362769583,0.0802461637493798,3.65733823346604,0.000254847995158424,0.000341116647800694,"51593","SRRT","protein_coding","serrate, RNA effector molecule [Source:HGNC Symbol;Acc:HGNC:24101]"
"ENSG00000006468",2543.52301707217,-0.940611154621916,0.257290009952984,-3.65584017348283,0.000256341034259914,0.000343094988365106,"2115","ETV1","protein_coding","ETS variant transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3490]"
"ENSG00000181826",155.796041979809,0.671784515369708,0.183877090711787,3.65344324716708,0.000258746999291577,0.00034629491455144,"768211","RELL1","protein_coding","RELT like 1 [Source:HGNC Symbol;Acc:HGNC:27379]"
"ENSG00000124915",13.5798906995885,-2.54133328705188,0.695664897413911,-3.65309978482329,0.000259093486216362,0.000346738317807073,"NA","MYRF-AS1","lncRNA","MYRF antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:24506]"
