"experiment","condition","sample","sample_label","ensembl_gene_id","entrezgene_id","external_gene_name","gene_biotype","normalized_count"
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000002079","NA","MYH16","transcribed_unitary_pseudogene",223.747716348067
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000002079","NA","MYH16","transcribed_unitary_pseudogene",257.386142226506
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000002079","NA","MYH16","transcribed_unitary_pseudogene",151.920568322229
"humanKD","Control","sample.jh_2_002_2","Control 2","ENSG00000002079","NA","MYH16","transcribed_unitary_pseudogene",140.72433782523
"humanKD","Control","sample.jh_2_002_1","Control 1","ENSG00000002079","NA","MYH16","transcribed_unitary_pseudogene",174.185246427692
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000002330","572","BAD","protein_coding",212.686289686466
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000002330","572","BAD","protein_coding",232.974426300564
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000002330","572","BAD","protein_coding",279.103097976867
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000002330","572","BAD","protein_coding",29.4039809655928
"humanKD","Control","sample.jh_2_002_2","Control 2","ENSG00000002330","572","BAD","protein_coding",35.1810844563076
"humanKD","Control","sample.jh_2_002_1","Control 1","ENSG00000002330","572","BAD","protein_coding",57.6151199722365
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000002549","51056","LAP3","protein_coding",1077.80214368142
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000002549","51056","LAP3","protein_coding",1195.43560822047
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000002549","51056","LAP3","protein_coding",1046.43553448964
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000002549","51056","LAP3","protein_coding",2474.83506460406
"humanKD","Control","sample.jh_2_002_2","Control 2","ENSG00000002549","51056","LAP3","protein_coding",2718.06452503176
"humanKD","Control","sample.jh_2_002_1","Control 1","ENSG00000002549","51056","LAP3","protein_coding",2449.31254207554
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000002586","4267","CD99","protein_coding",3443.93711644335
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000002586","4267","CD99","protein_coding",3785.25775801214
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000002586","4267","CD99","protein_coding",3740.14237922891
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000002586","4267","CD99","protein_coding",6.53421799235395
"humanKD","Control","sample.jh_2_002_2","Control 2","ENSG00000002586","4267","CD99","protein_coding",16.9390406641481
"humanKD","Control","sample.jh_2_002_1","Control 1","ENSG00000002586","4267","CD99","protein_coding",14.7387516208047
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000002587","9957","HS3ST1","protein_coding",2.87413904981711
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000002587","9957","HS3ST1","protein_coding",13.2633955567153
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000002587","9957","HS3ST1","protein_coding",12.8693071113253
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000002587","9957","HS3ST1","protein_coding",372.450425564175
"humanKD","Control","sample.jh_2_002_2","Control 2","ENSG00000002587","9957","HS3ST1","protein_coding",315.326756978757
"humanKD","Control","sample.jh_2_002_1","Control 1","ENSG00000002587","9957","HS3ST1","protein_coding",276.016621262342
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000002745","51384","WNT16","protein_coding",4.31120857472567
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000002745","51384","WNT16","protein_coding",5.766693720311
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000002745","51384","WNT16","protein_coding",1.60866338891566
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000002745","51384","WNT16","protein_coding",19.6026539770618
"humanKD","Control","sample.jh_2_002_2","Control 2","ENSG00000002745","51384","WNT16","protein_coding",16.9390406641481
"humanKD","Control","sample.jh_2_002_1","Control 1","ENSG00000002745","51384","WNT16","protein_coding",16.0786381317869
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000002746","23072","HECW1","protein_coding",139.39574391613
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000002746","23072","HECW1","protein_coding",110.14385005794
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000002746","23072","HECW1","protein_coding",171.322650919518
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000002746","23072","HECW1","protein_coding",133.951468843256
"humanKD","Control","sample.jh_2_002_2","Control 2","ENSG00000002746","23072","HECW1","protein_coding",144.633347209265
"humanKD","Control","sample.jh_2_002_1","Control 1","ENSG00000002746","23072","HECW1","protein_coding",101.831374834651
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000002822","8379","MAD1L1","protein_coding",3982.11965352161
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000002822","8379","MAD1L1","protein_coding",4175.66292287719
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000002822","8379","MAD1L1","protein_coding",3992.70253128867
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000002822","8379","MAD1L1","protein_coding",929.492509412349
"humanKD","Control","sample.jh_2_002_2","Control 2","ENSG00000002822","8379","MAD1L1","protein_coding",918.617205248032
"humanKD","Control","sample.jh_2_002_1","Control 1","ENSG00000002822","8379","MAD1L1","protein_coding",996.87556417079
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000002834","3927","LASP1","protein_coding",19568.5757206798
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000002834","3927","LASP1","protein_coding",19426.8378049837
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000002834","3927","LASP1","protein_coding",18149.7446854409
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000002834","3927","LASP1","protein_coding",10180.3116320875
"humanKD","Control","sample.jh_2_002_2","Control 2","ENSG00000002834","3927","LASP1","protein_coding",10382.3289239948
"humanKD","Control","sample.jh_2_002_1","Control 1","ENSG00000002834","3927","LASP1","protein_coding",9891.04222407092
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000002919","29916","SNX11","protein_coding",475.670012744732
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000002919","29916","SNX11","protein_coding",419.23863346661
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000002919","29916","SNX11","protein_coding",398.948520451084
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000002919","29916","SNX11","protein_coding",331.611563111963
"humanKD","Control","sample.jh_2_002_2","Control 2","ENSG00000002919","29916","SNX11","protein_coding",405.233972811543
"humanKD","Control","sample.jh_2_002_1","Control 1","ENSG00000002919","29916","SNX11","protein_coding",361.769357965206
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000002933","55365","TMEM176A","protein_coding",0
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000002933","55365","TMEM176A","protein_coding",0
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000002933","55365","TMEM176A","protein_coding",0
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000002933","55365","TMEM176A","protein_coding",671.390898714368
"humanKD","Control","sample.jh_2_002_2","Control 2","ENSG00000002933","55365","TMEM176A","protein_coding",802.649926855018
"humanKD","Control","sample.jh_2_002_1","Control 1","ENSG00000002933","55365","TMEM176A","protein_coding",724.878602441394
