"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezgene_id","external_gene_name","gene_biotype","description"
"ENSG00000151651",121.886815843622,1.44770704168784,0.211026005958798,2.63690888057665e-12,5.75373668897392e-12,"101","ADAM8","protein_coding","ADAM metallopeptidase domain 8 [Source:HGNC Symbol;Acc:HGNC:215]"
"ENSG00000124507",50.0600837363457,-3.73493591893018,0.563278198804945,2.64208902198363e-12,5.76448903067292e-12,"29993","PACSIN1","protein_coding","protein kinase C and casein kinase substrate in neurons 1 [Source:HGNC Symbol;Acc:HGNC:8570]"
"ENSG00000238061",41.8231745277067,-7.2153461693295,1.00955026898613,2.66633361517156e-12,5.81683001594262e-12,"NA","AL356273.4","processed_pseudogene","proteasome (prosome, macropain) 26S subunit, non-ATPase, 7 (Mov34 homolog) (PSMD7) pseudogene"
"ENSG00000163492",25.8366914742715,-4.95976407926987,0.735443248967861,2.67568187685544e-12,5.83666651246433e-12,"285025","CCDC141","protein_coding","coiled-coil domain containing 141 [Source:HGNC Symbol;Acc:HGNC:26821]"
"ENSG00000004848",37.3974203598922,-4.7664583087599,0.716175081467959,2.67623486921179e-12,5.83731526863987e-12,"170302","ARX","protein_coding","aristaless related homeobox [Source:HGNC Symbol;Acc:HGNC:18060]"
"ENSG00000218048",47.214811567474,-3.42013747804824,0.510054643469487,2.68960007830446e-12,5.86590681707367e-12,"NA","AL121949.1","unprocessed_pseudogene","leucine rich repeat containing 59 (LRRC59) pseudogene"
"ENSG00000114416",4797.10874790501,-0.598115780939377,0.0859037454978541,2.71562692427584e-12,5.92210477642853e-12,"8087","FXR1","protein_coding","FMR1 autosomal homolog 1 [Source:HGNC Symbol;Acc:HGNC:4023]"
"ENSG00000224488",27.7875188943287,-9.6641178680171,2.9274851101285,2.72946194328564e-12,5.95170721049271e-12,"NA","SAMM50P1","processed_pseudogene","SAMM50 sorting and assembly machinery component pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:49778]"
"ENSG00000163394",434.57455533049,6.493733673374,0.9866282019729,2.73006334166617e-12,5.95245027783424e-12,"886","CCKAR","protein_coding","cholecystokinin A receptor [Source:HGNC Symbol;Acc:HGNC:1570]"
"ENSG00000130695",730.811391939861,1.07383316747419,0.155596000361014,2.75301718090643e-12,6.00192434084784e-12,"64793","CEP85","protein_coding","centrosomal protein 85 [Source:HGNC Symbol;Acc:HGNC:25309]"
"ENSG00000162825",45.0561112055096,5.35639232566027,0.768707902834965,2.75708451564486e-12,6.01021793001936e-12,"100288142","NBPF20","protein_coding","NBPF member 20 [Source:HGNC Symbol;Acc:HGNC:32000]"
