"gene_set","sample","ssgsea_score","sample_label","condition","experiment"
"HALLMARK_MITOTIC_SPINDLE","sample.neg.neg_1",0.485186156601023,"KO 1","KO","CRISPR"
"HALLMARK_MITOTIC_SPINDLE","sample.neg.neg_2",0.457424654278314,"KO 2","KO","CRISPR"
"HALLMARK_MITOTIC_SPINDLE","sample.neg.neg_3",0.478446564578282,"KO 3","KO","CRISPR"
"HALLMARK_MTORC1_SIGNALING","sample.WT_1",0.501198637738182,"WT 1","WT","CRISPR"
"HALLMARK_MTORC1_SIGNALING","sample.WT_2",0.50941589470343,"WT 2","WT","CRISPR"
"HALLMARK_MTORC1_SIGNALING","sample.WT_3",0.503536049380005,"WT 3","WT","CRISPR"
"HALLMARK_MTORC1_SIGNALING","sample.pos.neg_1",0.513598090912868,"Het 1","Het","CRISPR"
"HALLMARK_MTORC1_SIGNALING","sample.pos.neg_2",0.512770027928127,"Het 2","Het","CRISPR"
"HALLMARK_MTORC1_SIGNALING","sample.pos.neg_3",0.511549320151121,"Het 3","Het","CRISPR"
"HALLMARK_MTORC1_SIGNALING","sample.neg.neg_1",0.497325075191702,"KO 1","KO","CRISPR"
"HALLMARK_MTORC1_SIGNALING","sample.neg.neg_2",0.502868399728303,"KO 2","KO","CRISPR"
"HALLMARK_MTORC1_SIGNALING","sample.neg.neg_3",0.496585565470253,"KO 3","KO","CRISPR"
"HALLMARK_MYC_TARGETS_V1","sample.WT_1",0.713625615695775,"WT 1","WT","CRISPR"
"HALLMARK_MYC_TARGETS_V1","sample.WT_2",0.718927648436629,"WT 2","WT","CRISPR"
"HALLMARK_MYC_TARGETS_V1","sample.WT_3",0.725450500399885,"WT 3","WT","CRISPR"
"HALLMARK_MYC_TARGETS_V1","sample.pos.neg_1",0.716378854506985,"Het 1","Het","CRISPR"
"HALLMARK_MYC_TARGETS_V1","sample.pos.neg_2",0.726868848917761,"Het 2","Het","CRISPR"
"HALLMARK_MYC_TARGETS_V1","sample.pos.neg_3",0.724987040933939,"Het 3","Het","CRISPR"
"HALLMARK_MYC_TARGETS_V1","sample.neg.neg_1",0.709043768291385,"KO 1","KO","CRISPR"
"HALLMARK_MYC_TARGETS_V1","sample.neg.neg_2",0.731483761994728,"KO 2","KO","CRISPR"
"HALLMARK_MYC_TARGETS_V1","sample.neg.neg_3",0.716789845129169,"KO 3","KO","CRISPR"
"HALLMARK_MYC_TARGETS_V2","sample.WT_1",0.517288442388452,"WT 1","WT","CRISPR"
"HALLMARK_MYC_TARGETS_V2","sample.WT_2",0.548054843785065,"WT 2","WT","CRISPR"
"HALLMARK_MYC_TARGETS_V2","sample.WT_3",0.586892963606491,"WT 3","WT","CRISPR"
"HALLMARK_MYC_TARGETS_V2","sample.pos.neg_1",0.542044198912128,"Het 1","Het","CRISPR"
"HALLMARK_MYC_TARGETS_V2","sample.pos.neg_2",0.576350079866091,"Het 2","Het","CRISPR"
"HALLMARK_MYC_TARGETS_V2","sample.pos.neg_3",0.577149886640131,"Het 3","Het","CRISPR"
"HALLMARK_MYC_TARGETS_V2","sample.neg.neg_1",0.525000323784443,"KO 1","KO","CRISPR"
"HALLMARK_MYC_TARGETS_V2","sample.neg.neg_2",0.581679542232836,"KO 2","KO","CRISPR"
"HALLMARK_MYC_TARGETS_V2","sample.neg.neg_3",0.566132574126013,"KO 3","KO","CRISPR"
"HALLMARK_MYOGENESIS","sample.WT_1",0.200259957457741,"WT 1","WT","CRISPR"
"HALLMARK_MYOGENESIS","sample.WT_2",0.193147005691676,"WT 2","WT","CRISPR"
"HALLMARK_MYOGENESIS","sample.WT_3",0.193677852963386,"WT 3","WT","CRISPR"
"HALLMARK_MYOGENESIS","sample.pos.neg_1",0.180452819082605,"Het 1","Het","CRISPR"
"HALLMARK_MYOGENESIS","sample.pos.neg_2",0.148373877716542,"Het 2","Het","CRISPR"
"HALLMARK_MYOGENESIS","sample.pos.neg_3",0.158701048297116,"Het 3","Het","CRISPR"
"HALLMARK_MYOGENESIS","sample.neg.neg_1",0.184304201601205,"KO 1","KO","CRISPR"
"HALLMARK_MYOGENESIS","sample.neg.neg_2",0.156156935089196,"KO 2","KO","CRISPR"
"HALLMARK_MYOGENESIS","sample.neg.neg_3",0.160836954424686,"KO 3","KO","CRISPR"
"HALLMARK_NOTCH_SIGNALING","sample.WT_1",0.189689282955993,"WT 1","WT","CRISPR"
"HALLMARK_NOTCH_SIGNALING","sample.WT_2",0.17337837686162,"WT 2","WT","CRISPR"
"HALLMARK_NOTCH_SIGNALING","sample.WT_3",0.181545480602939,"WT 3","WT","CRISPR"
"HALLMARK_NOTCH_SIGNALING","sample.pos.neg_1",0.162545507593256,"Het 1","Het","CRISPR"
"HALLMARK_NOTCH_SIGNALING","sample.pos.neg_2",0.163111061569301,"Het 2","Het","CRISPR"
"HALLMARK_NOTCH_SIGNALING","sample.pos.neg_3",0.168189261142294,"Het 3","Het","CRISPR"
"HALLMARK_NOTCH_SIGNALING","sample.neg.neg_1",0.154407485936391,"KO 1","KO","CRISPR"
"HALLMARK_NOTCH_SIGNALING","sample.neg.neg_2",0.154571673200015,"KO 2","KO","CRISPR"
"HALLMARK_NOTCH_SIGNALING","sample.neg.neg_3",0.151871830343993,"KO 3","KO","CRISPR"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","sample.WT_1",0.445078015771829,"WT 1","WT","CRISPR"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","sample.WT_2",0.462238322811264,"WT 2","WT","CRISPR"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","sample.WT_3",0.446037517152168,"WT 3","WT","CRISPR"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","sample.pos.neg_1",0.441764615427589,"Het 1","Het","CRISPR"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","sample.pos.neg_2",0.437057911030878,"Het 2","Het","CRISPR"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","sample.pos.neg_3",0.440021921141952,"Het 3","Het","CRISPR"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","sample.neg.neg_1",0.435230848764321,"KO 1","KO","CRISPR"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","sample.neg.neg_2",0.460090163970715,"KO 2","KO","CRISPR"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","sample.neg.neg_3",0.431013141306099,"KO 3","KO","CRISPR"
"HALLMARK_P53_PATHWAY","sample.WT_1",0.167350058320086,"WT 1","WT","CRISPR"
"HALLMARK_P53_PATHWAY","sample.WT_2",0.152906802845485,"WT 2","WT","CRISPR"
"HALLMARK_P53_PATHWAY","sample.WT_3",0.150191027027474,"WT 3","WT","CRISPR"
"HALLMARK_P53_PATHWAY","sample.pos.neg_1",0.170341052619115,"Het 1","Het","CRISPR"
"HALLMARK_P53_PATHWAY","sample.pos.neg_2",0.152795727499479,"Het 2","Het","CRISPR"
"HALLMARK_P53_PATHWAY","sample.pos.neg_3",0.149329054863476,"Het 3","Het","CRISPR"
"HALLMARK_P53_PATHWAY","sample.neg.neg_1",0.160576284278983,"KO 1","KO","CRISPR"
"HALLMARK_P53_PATHWAY","sample.neg.neg_2",0.148085940846522,"KO 2","KO","CRISPR"
"HALLMARK_P53_PATHWAY","sample.neg.neg_3",0.162182466241676,"KO 3","KO","CRISPR"
"HALLMARK_PANCREAS_BETA_CELLS","sample.WT_1",0.194667881914619,"WT 1","WT","CRISPR"
"HALLMARK_PANCREAS_BETA_CELLS","sample.WT_2",0.191475825372983,"WT 2","WT","CRISPR"
"HALLMARK_PANCREAS_BETA_CELLS","sample.WT_3",0.163061988482119,"WT 3","WT","CRISPR"
"HALLMARK_PANCREAS_BETA_CELLS","sample.pos.neg_1",0.209266587238971,"Het 1","Het","CRISPR"
"HALLMARK_PANCREAS_BETA_CELLS","sample.pos.neg_2",0.17110830905227,"Het 2","Het","CRISPR"
"HALLMARK_PANCREAS_BETA_CELLS","sample.pos.neg_3",0.175826772229037,"Het 3","Het","CRISPR"
"HALLMARK_PANCREAS_BETA_CELLS","sample.neg.neg_1",0.185770148351895,"KO 1","KO","CRISPR"
"HALLMARK_PANCREAS_BETA_CELLS","sample.neg.neg_2",0.161578992842876,"KO 2","KO","CRISPR"
"HALLMARK_PANCREAS_BETA_CELLS","sample.neg.neg_3",0.154952297722853,"KO 3","KO","CRISPR"
"HALLMARK_PEROXISOME","sample.WT_1",0.366105125118242,"WT 1","WT","CRISPR"
"HALLMARK_PEROXISOME","sample.WT_2",0.377998182174115,"WT 2","WT","CRISPR"
"HALLMARK_PEROXISOME","sample.WT_3",0.36577728654164,"WT 3","WT","CRISPR"
"HALLMARK_PEROXISOME","sample.pos.neg_1",0.378097735930489,"Het 1","Het","CRISPR"
"HALLMARK_PEROXISOME","sample.pos.neg_2",0.355454611095696,"Het 2","Het","CRISPR"
"HALLMARK_PEROXISOME","sample.pos.neg_3",0.365852734197303,"Het 3","Het","CRISPR"
"HALLMARK_PEROXISOME","sample.neg.neg_1",0.366225550279191,"KO 1","KO","CRISPR"
"HALLMARK_PEROXISOME","sample.neg.neg_2",0.369073200257726,"KO 2","KO","CRISPR"
"HALLMARK_PEROXISOME","sample.neg.neg_3",0.351848262191593,"KO 3","KO","CRISPR"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","sample.WT_1",0.347929712173698,"WT 1","WT","CRISPR"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","sample.WT_2",0.34845294549433,"WT 2","WT","CRISPR"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","sample.WT_3",0.34235659687451,"WT 3","WT","CRISPR"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","sample.pos.neg_1",0.359708863497284,"Het 1","Het","CRISPR"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","sample.pos.neg_2",0.364293188088557,"Het 2","Het","CRISPR"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","sample.pos.neg_3",0.352069338913831,"Het 3","Het","CRISPR"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","sample.neg.neg_1",0.352926650539309,"KO 1","KO","CRISPR"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","sample.neg.neg_2",0.343855124019783,"KO 2","KO","CRISPR"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","sample.neg.neg_3",0.363415034779085,"KO 3","KO","CRISPR"
"HALLMARK_PROTEIN_SECRETION","sample.WT_1",0.455457915779133,"WT 1","WT","CRISPR"
"HALLMARK_PROTEIN_SECRETION","sample.WT_2",0.454697646440538,"WT 2","WT","CRISPR"
"HALLMARK_PROTEIN_SECRETION","sample.WT_3",0.439815765592369,"WT 3","WT","CRISPR"
"HALLMARK_PROTEIN_SECRETION","sample.pos.neg_1",0.483708295432194,"Het 1","Het","CRISPR"
"HALLMARK_PROTEIN_SECRETION","sample.pos.neg_2",0.476784446386187,"Het 2","Het","CRISPR"
"HALLMARK_PROTEIN_SECRETION","sample.pos.neg_3",0.474356845153732,"Het 3","Het","CRISPR"
"HALLMARK_PROTEIN_SECRETION","sample.neg.neg_1",0.472268594816749,"KO 1","KO","CRISPR"
"HALLMARK_PROTEIN_SECRETION","sample.neg.neg_2",0.464565446282517,"KO 2","KO","CRISPR"
"HALLMARK_PROTEIN_SECRETION","sample.neg.neg_3",0.458816360930444,"KO 3","KO","CRISPR"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","sample.WT_1",0.375700815805219,"WT 1","WT","CRISPR"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","sample.WT_2",0.381296285962593,"WT 2","WT","CRISPR"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","sample.WT_3",0.369496770072742,"WT 3","WT","CRISPR"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","sample.pos.neg_1",0.399180706180048,"Het 1","Het","CRISPR"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","sample.pos.neg_2",0.375911379166649,"Het 2","Het","CRISPR"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","sample.pos.neg_3",0.372528008844305,"Het 3","Het","CRISPR"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","sample.neg.neg_1",0.385348475296087,"KO 1","KO","CRISPR"
