"ensembl_gene_id","sample.WT_1","sample.WT_2","sample.WT_3","sample.pos.neg_1","sample.pos.neg_2","sample.pos.neg_3"
"ENSMUSG00000024983",556.591797699366,505.106535377045,752.04077288875,816.178714109384,759.253594401698,910.360045971257
"ENSMUSG00000024985",832.813956617233,626.993183995637,591.679137493355,765.970295358735,721.622949781206,699.792002097019
"ENSMUSG00000024989",1144.70444236233,1341.78607250467,1860.74794174312,1912.59046310611,2521.25318957299,2881.12563025529
"ENSMUSG00000024991",11004.0935741875,10690.9051966307,13938.3292144317,13278.3753030786,15283.5756342464,16391.5243734437
"ENSMUSG00000024993",617.974499681114,643.520187198157,592.370351439025,834.860916435207,758.146810736389,777.966964493442
"ENSMUSG00000024997",2393.09588131546,2854.00686553533,3030.9731517621,3208.66824946007,3652.38609551837,3493.91646452403
"ENSMUSG00000024999",935.671457235298,1221.96529928639,1732.87336179421,1334.60982865097,1732.11643620796,1849.72048121861
"ENSMUSG00000025001",2975.40205416934,3641.10539305539,4555.7911159097,4034.18806473236,4882.02274767622,4884.67426328622
"ENSMUSG00000025006",11.6129436181686,13.4281901020482,12.4418510220565,33.8614917155538,27.6695916327149,20.1741838442384
"ENSMUSG00000025007",1979.17739092502,2021.45907920834,2281.00602071036,2661.04619378439,2800.16267323075,2309.94405016529
"ENSMUSG00000025008",143.502803281655,164.237094325051,121.653654437886,206.671863229415,190.366790433079,158.871697773377
"ENSMUSG00000025010",169.217178436171,139.44658952127,139.625217025301,227.689340845965,307.68585895579,295.047438721986
"ENSMUSG00000025016",5883.61493454784,6783.30187693467,7579.16091426944,8371.96191725934,9487.3495790253,10084.5701491387
"ENSMUSG00000025019",1144.70444236233,977.159064349048,1017.46692802596,1480.56453432146,1733.22321987326,1600.06495614616
"ENSMUSG00000025024",1382.76978653479,1416.15758691601,1652.69254409651,1956.96069362994,2170.40276767016,2299.85695824318
"ENSMUSG00000025025",642.859378862904,486.513656774209,402.286516379828,1421.0150144079,788.029969699722,722.487958921787
"ENSMUSG00000025026",22.3963912636108,18.592878602836,20.7364183700942,251.042093753244,151.629362147278,177.784995127351
"ENSMUSG00000025027",2031.43563720678,2196.02555053496,2152.44022681578,2836.19184058898,2743.71670630001,2707.12329459874
"ENSMUSG00000025034",1498.06972674375,1570.06530423949,1842.77637915571,2435.69212822915,2279.97435053571,2408.29319640596
"ENSMUSG00000025035",981.293735735246,914.149864639437,1005.0250770039,1343.95092981388,1341.42180235402,1264.66914973569
"ENSMUSG00000025036",502.674559472155,592.906239890437,747.893489214731,925.936652773593,972.862841806257,1028.88337605616
