"database","pathway_key","pathway_id_human_KD","pathway_id_mouse_KD","pathway_name_human_KD","pathway_name_mouse_KD","NES_human_KD","NES_mouse_KD","padj_human_KD","padj_mouse_KD","signed_log10padj_human_KD","signed_log10padj_mouse_KD","significant_human_KD","significant_mouse_KD","leading_edge_human_KD","leading_edge_mouse_KD","pathway_name","delta_NES_human_minus_mouse","abs_delta_NES_human_minus_mouse","direction_pattern"
"GO_BP","GO:0014812","GO:0014812","GO:0014812","muscle cell migration","muscle cell migration",-1.17142216161287,1.28376254162201,0.43248757789048,0.367590251794924,-0.364026362028286,0.43463601428214,FALSE,FALSE,"5058/301/8840/65009/5159/55742/4035/4780/4303/1398/57175/14/4856/9353/85440","20563/18442/18186/19664/16009/68813/238130/216198/14673/67771/19241/67299/14870/24088/14739/319757/238871/16952/23789/11792/18214/16971/57342/11421/18791/208727/21898/108058/18024/14869","muscle cell migration",-2.45518470323488,2.45518470323488,"opposite direction"
"GO_BP","GO:0003170","GO:0003170","GO:0003170","heart valve development","heart valve development",-1.56782540056807,0.887343186116585,0.0835013355732395,0.851468451318894,-1.07830657807988,0.0698314389191671,FALSE,FALSE,"2006/6659/324/11117/8642/25831/1942/642658/56999/650/6615/7291/3516/9353","20563/20564/20897/19664/21937/68303/16971/27419/19645/23794/100952/20677/21813/56717/22160/14462/12156","heart valve development",-2.45516858668466,2.45516858668466,"opposite direction"
"GO_BP","GO:0032729","GO:0032729","GO:0032729","positive regulation of type II interferon production","positive regulation of type II interferon production",-0.772128199486338,1.68287463593739,0.919530631976795,0.120548036652861,-0.0364337986968058,0.918839858515662,FALSE,FALSE,"929/5142/5690/5685/5684/26191/8807/51571/7855/5689/5686/5691/5144","20539/100038882/214855/16177/142980/238871/12394/18578/15461/11820/14082/18176/21898/12611/15510/223601/11350/15975/12479","positive regulation of type II interferon production",-2.45500283542373,2.45500283542373,"opposite direction"
"GO_BP","GO:0032743","GO:0032743","GO:0032743","positive regulation of interleukin-2 production","positive regulation of interleukin-2 production",-1.51418236156308,0.940156649941124,0.168616731582646,0.783665962096657,-0.773099333190006,0.105869016055384,FALSE,FALSE,"5699/942/5692/84433/5687/5142/5690/5685/5684/301/5689/5686/5691/5144","27050/66592/238871/16952/12394/18578","positive regulation of interleukin-2 production",-2.4543390115042,2.4543390115042,"opposite direction"
"GO_BP","GO:0042596","GO:0042596","GO:0042596","fear response","fear response",1.41257331456558,-1.04158183973304,0.295609856052456,0.695879396984925,0.529281090040959,-0.157466021542369,FALSE,FALSE,"4192/4862/23542/2048/5575/4208/4923/348","19085/54006/17242/74018/11816","fear response",2.45415515429862,2.45415515429862,"opposite direction"
"GO_BP","GO:0044273","GO:0044273","GO:0044273","sulfur compound catabolic process","sulfur compound catabolic process",-0.955820025157241,1.49766954994624,0.69926888946485,0.285435689299982,-0.155355793130126,0.544491726046149,FALSE,FALSE,"79094/254552/64174/7263/728441/8803/189/215/494143/11332/38/51380/25828/26873","69065/14431/246277/171210/110446/75475/269378/11666/104184/13479/68044/110959","sulfur compound catabolic process",-2.45348957510348,2.45348957510348,"opposite direction"
"GO_BP","GO:0034763","GO:0034763","GO:0034763","negative regulation of transmembrane transport","negative regulation of transmembrane transport",-1.21491257720361,1.23849455418418,0.399090332134546,0.427669330284585,-0.3989287927659,0.368891893455502,FALSE,FALSE,"2859/51185/55917/130497/3757/477/255057/4947/801/55829/5532/124935/2332/796/778/288/91404/7531/150684/1500/2931/11060/817/4318/130507/5530/1365/4734","22337/26903/11603/14873/18764/17999/19056/11651/100503659/26385/52906/108737/19057/19735/50721/11421/22333/12283/18247/18754/108058/11735","negative regulation of transmembrane transport",-2.45340713138779,2.45340713138779,"opposite direction"
"GO_BP","GO:0070374","GO:0070374","GO:0070374","positive regulation of ERK1 and ERK2 cascade","positive regulation of ERK1 and ERK2 cascade",-1.27674840062604,1.17619683224198,0.299441724409683,0.496658515903847,-0.52368768489359,0.303942113543017,FALSE,FALSE,"246/4988/2249/195827/5604/152007/1436/9464/3596/673/7422/64127/3084/7423/26191/3265/2771/55294/10457/155/65009/5159/10347/408/5906/10268/2185/7786/6714/284/6764/5151/650/2263/5595/5156/59","11475/12266/27632/56089/18186/20361/12778/56636/381126/66129/24088/21983/20315/384009/18214/217378/16971/26395/15461/18595/117149/11820/20416/21898/109042/108058/109905/26417/114249/22339/107607/14538/20779/11600/18105/11350/26400/24064/71785/218461","positive regulation of ERK1 and ERK2 cascade",-2.45294523286802,2.45294523286802,"opposite direction"
"GO_BP","GO:0110096","GO:0110096","GO:0110096","cellular response to aldehyde","cellular response to aldehyde",-1.23934457061482,1.21314679597469,0.424660506663291,0.555292418844383,-0.371958126425694,0.255478255712605,FALSE,FALSE,"3029/25953/72/2098/9131/10327/57016/217","12842/21857/11532/109801/213350/57320/21803/13885","cellular response to aldehyde",-2.45249136658951,2.45249136658951,"opposite direction"
"GO_BP","GO:0070585","GO:0070585","GO:0070585","protein localization to mitochondrion","protein localization to mitochondrion",-1.28615760208343,1.16582039408823,0.216684303541306,0.533476785106929,-0.664172547527877,0.272884474682478,FALSE,FALSE,"1649/58480/706/9868/140823/10651/3308/26517/401505/55294/27429/23788/84134/65018/6720/10075/2931/23203/7855/56947/6721/51100/5562/4836/3098/9131/9520/29103/9049/55823/9512/120892/54708/3305","100038882/66725/20787/68653/67713/12257/52838/11651/68943/69089/30055/22631/381038/28185/14232/15525/53375/22273/74006/12028/56428/15510/382793/641376/66821/69923/75734/66865/12177/231430/66541/67013/66449/69104","protein localization to mitochondrion",-2.45197799617166,2.45197799617166,"opposite direction"
