"database","pathway_key","pathway_id_human_KD","pathway_id_mouse_KD","pathway_name_human_KD","pathway_name_mouse_KD","NES_human_KD","NES_mouse_KD","padj_human_KD","padj_mouse_KD","signed_log10padj_human_KD","signed_log10padj_mouse_KD","significant_human_KD","significant_mouse_KD","pathway_name","delta_NES_human_minus_mouse","abs_delta_NES_human_minus_mouse","direction_pattern"
"Reactome","PI3K/AKT Signaling in Cancer","R-HSA-2219528",NA,"PI3K/AKT Signaling in Cancer",NA,-1.47310655733076,NA,0.0443672808488501,NA,-1.35293718720697,NA,TRUE,NA,"PI3K/AKT Signaling in Cancer",NA,NA,"mixed or incomplete"
"Reactome","PIWI-interacting RNA (piRNA) biogenesis","R-HSA-5601884",NA,"PIWI-interacting RNA (piRNA) biogenesis",NA,0.893572787265818,NA,0.773195661243221,NA,0.111710591662903,NA,FALSE,NA,"PIWI-interacting RNA (piRNA) biogenesis",NA,NA,"mixed or incomplete"
"Reactome","PKA activation","R-HSA-163615",NA,"PKA activation",NA,-1.30357255438528,NA,0.2612310250331,NA,-0.582975245465392,NA,FALSE,NA,"PKA activation",NA,NA,"mixed or incomplete"
"Reactome","PKA activation in glucagon signalling","R-HSA-164378",NA,"PKA activation in glucagon signalling",NA,-1.23164492175453,NA,0.355911152190867,NA,-0.44865840351323,NA,FALSE,NA,"PKA activation in glucagon signalling",NA,NA,"mixed or incomplete"
"Reactome","PKA-mediated phosphorylation of CREB","R-HSA-111931",NA,"PKA-mediated phosphorylation of CREB",NA,-1.16541918082356,NA,0.430528772962549,NA,-0.365997818609185,NA,FALSE,NA,"PKA-mediated phosphorylation of CREB",NA,NA,"mixed or incomplete"
"Reactome","PPARA activates gene expression","R-HSA-1989781",NA,"PPARA activates gene expression",NA,-1.4326459030314,NA,0.0611433937683439,NA,-1.21365045939535,NA,FALSE,NA,"PPARA activates gene expression",NA,NA,"mixed or incomplete"
"Reactome","Packaging Of Telomere Ends","R-HSA-171306",NA,"Packaging Of Telomere Ends",NA,0.956591355236097,NA,0.71012921424783,NA,0.148662620394992,NA,FALSE,NA,"Packaging Of Telomere Ends",NA,NA,"mixed or incomplete"
"Reactome","Paradoxical activation of RAF signaling by kinase inactive BRAF","R-HSA-6802955",NA,"Paradoxical activation of RAF signaling by kinase inactive BRAF",NA,-1.53708668363818,NA,0.0482820437401116,NA,-1.31621435484919,NA,TRUE,NA,"Paradoxical activation of RAF signaling by kinase inactive BRAF",NA,NA,"mixed or incomplete"
"Reactome","Parasite infection","R-HSA-9664407",NA,"Parasite infection",NA,-1.83088619581632,NA,0.00535888297073939,NA,-2.27092572713573,NA,TRUE,NA,"Parasite infection",NA,NA,"mixed or incomplete"
"Reactome","Parasitic Infection Pathways","R-HSA-9824443",NA,"Parasitic Infection Pathways",NA,-1.67274627009259,NA,0.00218248638495851,NA,-2.66104845688051,NA,TRUE,NA,"Parasitic Infection Pathways",NA,NA,"mixed or incomplete"
"Reactome","Pausing and recovery of HIV elongation","R-HSA-167290",NA,"Pausing and recovery of HIV elongation",NA,0.70607640707799,NA,0.948806577543983,NA,0.0228223132492533,NA,FALSE,NA,"Pausing and recovery of HIV elongation",NA,NA,"mixed or incomplete"
"Reactome","Pausing and recovery of Tat-mediated HIV elongation","R-HSA-167238",NA,"Pausing and recovery of Tat-mediated HIV elongation",NA,0.749408269073532,NA,0.929218882954287,NA,0.03188197334498,NA,FALSE,NA,"Pausing and recovery of Tat-mediated HIV elongation",NA,NA,"mixed or incomplete"
"Reactome","Pentose phosphate pathway","R-HSA-71336",NA,"Pentose phosphate pathway",NA,-1.11613746745917,NA,0.484080794248545,NA,-0.315082147512669,NA,FALSE,NA,"Pentose phosphate pathway",NA,NA,"mixed or incomplete"
