"gene_set","sample","ssgsea_score","sample_label","condition","experiment"
"HALLMARK_INFLAMMATORY_RESPONSE","sample.shrubr5_2_2002",0.0739680708640344,"KD 2 2002","KD","humanKD"
"HALLMARK_INFLAMMATORY_RESPONSE","sample.shrubr5_1_2002",0.0901467517753697,"KD 1 2002","KD","humanKD"
"HALLMARK_INFLAMMATORY_RESPONSE","sample.jh_2_002_3",0.0320728530113308,"Control 3","Control","humanKD"
"HALLMARK_INFLAMMATORY_RESPONSE","sample.jh_2_002_2",0.0368445362444575,"Control 2","Control","humanKD"
"HALLMARK_INFLAMMATORY_RESPONSE","sample.jh_2_002_1",0.0352370680967923,"Control 1","Control","humanKD"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","sample.shrubr5_3_2002",0.190421458036152,"KD 3 2002","KD","humanKD"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","sample.shrubr5_2_2002",0.197682190731524,"KD 2 2002","KD","humanKD"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","sample.shrubr5_1_2002",0.226578789281966,"KD 1 2002","KD","humanKD"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","sample.jh_2_002_3",0.090222121218731,"Control 3","Control","humanKD"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","sample.jh_2_002_2",0.0839050897501832,"Control 2","Control","humanKD"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","sample.jh_2_002_1",0.0760597157985431,"Control 1","Control","humanKD"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","sample.shrubr5_3_2002",0.160580727291769,"KD 3 2002","KD","humanKD"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","sample.shrubr5_2_2002",0.164506373584447,"KD 2 2002","KD","humanKD"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","sample.shrubr5_1_2002",0.188396200596516,"KD 1 2002","KD","humanKD"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","sample.jh_2_002_3",0.125195925395253,"Control 3","Control","humanKD"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","sample.jh_2_002_2",0.120887862993328,"Control 2","Control","humanKD"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","sample.jh_2_002_1",0.11772122961217,"Control 1","Control","humanKD"
"HALLMARK_KRAS_SIGNALING_DN","sample.shrubr5_3_2002",-0.145566107973298,"KD 3 2002","KD","humanKD"
"HALLMARK_KRAS_SIGNALING_DN","sample.shrubr5_2_2002",-0.147466141703745,"KD 2 2002","KD","humanKD"
"HALLMARK_KRAS_SIGNALING_DN","sample.shrubr5_1_2002",-0.154297795010293,"KD 1 2002","KD","humanKD"
"HALLMARK_KRAS_SIGNALING_DN","sample.jh_2_002_3",-0.0843562009055328,"Control 3","Control","humanKD"
"HALLMARK_KRAS_SIGNALING_DN","sample.jh_2_002_2",-0.0624868441076369,"Control 2","Control","humanKD"
"HALLMARK_KRAS_SIGNALING_DN","sample.jh_2_002_1",-0.078956072973331,"Control 1","Control","humanKD"
"HALLMARK_KRAS_SIGNALING_UP","sample.shrubr5_3_2002",0.141837330731927,"KD 3 2002","KD","humanKD"
"HALLMARK_KRAS_SIGNALING_UP","sample.shrubr5_2_2002",0.139001284824369,"KD 2 2002","KD","humanKD"
"HALLMARK_KRAS_SIGNALING_UP","sample.shrubr5_1_2002",0.182675875259647,"KD 1 2002","KD","humanKD"
"HALLMARK_KRAS_SIGNALING_UP","sample.jh_2_002_3",0.0862050137213518,"Control 3","Control","humanKD"
"HALLMARK_KRAS_SIGNALING_UP","sample.jh_2_002_2",0.100879877483816,"Control 2","Control","humanKD"
"HALLMARK_KRAS_SIGNALING_UP","sample.jh_2_002_1",0.0893634288299315,"Control 1","Control","humanKD"
"HALLMARK_MITOTIC_SPINDLE","sample.shrubr5_3_2002",0.716516104512049,"KD 3 2002","KD","humanKD"
"HALLMARK_MITOTIC_SPINDLE","sample.shrubr5_2_2002",0.715680777321651,"KD 2 2002","KD","humanKD"
"HALLMARK_MITOTIC_SPINDLE","sample.shrubr5_1_2002",0.7208169079857,"KD 1 2002","KD","humanKD"
"HALLMARK_MITOTIC_SPINDLE","sample.jh_2_002_3",0.653200033457846,"Control 3","Control","humanKD"
"HALLMARK_MITOTIC_SPINDLE","sample.jh_2_002_2",0.643865109520956,"Control 2","Control","humanKD"
"HALLMARK_MITOTIC_SPINDLE","sample.jh_2_002_1",0.648644899642931,"Control 1","Control","humanKD"
"HALLMARK_MTORC1_SIGNALING","sample.shrubr5_3_2002",0.691012328156617,"KD 3 2002","KD","humanKD"
"HALLMARK_MTORC1_SIGNALING","sample.shrubr5_2_2002",0.692752355776581,"KD 2 2002","KD","humanKD"
"HALLMARK_MTORC1_SIGNALING","sample.shrubr5_1_2002",0.677987484634934,"KD 1 2002","KD","humanKD"
"HALLMARK_MTORC1_SIGNALING","sample.jh_2_002_3",0.649006239349835,"Control 3","Control","humanKD"
"HALLMARK_MTORC1_SIGNALING","sample.jh_2_002_2",0.649122979072474,"Control 2","Control","humanKD"
